chinese	english
黛玉道：“我没说什么。”	'I didn't say anything,' said Dai-yu.
它的瘦削的嘴巴上冻结着深红的鸡血，一片麻色的鸡羽沾在它嘴边的胡须上。	Congealed blood covered its pointy little snout; a chicken feather the colour of hemp was stuck in its whiskers.
他们说，军代表调走了，没人记着我们的事。	They told me that the military deputy had been transferred someplace else and nobody remembered our affair anymore.
此书本是出于我大明朱国桢相国之手，说到关外建州卫之事，又如何会对鞑子客气？”	It was written by Zhu Guozhen, who, as you know, was a former Chancellor at the Ming Court. When he came to write about the 'antics of the Paramount Chief of the Jianzhou tribe', which is how the Ming Court used to refer to the Tartars, it's a bit hard to see how he could have been polite.'
奶奶丰腴的青春年华辐射着强烈的焦虑和淡淡的孤寂，她渴望着躺在一个伟岸的男子怀抱里缓解焦虑消除孤寂。	Grandma longed to lose her anxieties and loneliness in the arms of a strong and noble young man.
风从衣服下面吹进来，吹过她的性敏感带，那时她感到的性欲，就如风一样捉摸不定。	Wind blew in from below and caressed her sensitive parts. And the desire she felt then was as unpredictable as wind.
你先给我舀水去罢。”	'First go and get me some water!'
据说受受批斗，思想上有了震动，以后可以少犯错误。	They told us that public denouncing had an impact on a person's mind, which could prevent us from committing errors in the future.
这些事一点也不讨厌。	That didn't bother her at all.
他文绉绉的说话，韦小宝更加不懂了。	To Trinket this book-language of the Helmsman's was even more incomprehensible than what he had said before.
轿子已经像风浪中的小船了，奶奶死劲抓住座板，腹中翻腾着早晨吃下的两个鸡蛋，苍蝇在她耳畔嗡嗡地飞，她的喉咙紧张，蛋腥味冲到口腔，她咬住嘴唇。	The sedan chair was like a dinghy tossed about by the waves, and Grandma held on to the wooden seat for dear life. The two eggs she'd eaten for breakfast churned in her stomach, the flies buzzed around her ears; her throat tightened, as the taste of eggs surged up into her mouth. She bit her lip.
一名CIA官员说：“还有‘审判日’号上的一部分船员，他们对这船是干什么的可能并不知情。”	A CIA officer said, 'And some of the crew aboard Judgment Day probably don't know the real purpose of the ship.'
后来队长过来一问，就说：快摇电话把陈清扬叫下来，让她看看腰断了没有。	Finally, the team leader came over and said, Go phone Chen Qingyang. Let her check his back.
她懒懒地往椅子上一仰说，这很好。	She leaned back languidly in her chair and said, That's a great idea.
吴佩珍是那类粗心的女孩子。	Wu Peizhen was a rather careless girl.
袭人冷笑道：“要为这些事生气，这屋里一刻还住得了?	Aroma smiled bitterly. 'If I had allowed myself to get upset about things like that, I shouldn't have lasted in this room for five minutes!
我把她放开，站起来，看见离寨子很近，就说：走。	I let go of her and rose to my feet, to find that we were actually not far from the village. So I said, Let's go.
倏又腊尽春回，这病更加沉重。	Winter went and spring came and Jia Rui's sickness grew even worse.
下午三点钟的马路，是有疲惫感的，心里都在准备着结束和换班了。	At three o'clock in the afternoon, the Shanghai boulevards were suffused with weariness, preparing to sign out and change shifts.
找到他，再将眼光从他身上移开，去看目下的时尚，不由看出这时尚的粗陋鄙俗。	Then, having found one, you couldn't help but notice just how crude and boorish the so-called fashionable were in comparison.
天顶上闪过一缕缕阳光。	Threads of sunshine flashed in the sky.
眼前的景色太平常了，正在进行的运河拓宽工程使两岸山坡上的热带雨林变得稀稀拉拉，坡上露出了大片黄土，那色彩真的使汪淼感到对这里很熟悉。	The sight before him was very common: The construction work under way to widen the canal caused the tropical forest on both slopes to be quite sparse, revealing large patches of yellow earth. The color felt familiar to Wang.
人保组的同志说，可以了。	The security comrade said, That's good enough.
而我呢，根本就没长过那个东西。	As for me, I never had that thing anyway.
我们每天都到人保组去，每到街子天就被捆起来，除此之外，有时还和别人一道到各队去挨斗。	We went to the public security section every day and would be tied up every market day. Beyond that, we had to go to every team to accept public denouncement with other bad elements.
它们往往有着不怎么正经的面目，坏事多，好事少，不干净，是个腌臜货。	These bits and pieces have faces that are not quite decent; always up to something, they are spoiled merchandise.
茅十八大哥和我，就是给他擒进宫里去的……”	He's the one who captured me and Mao Eighteen and brought us into the Palace . . .'
袭人道：“你出去了就好了。	'Never mind where, just go out!' said Aroma.
上海这城市最少也有一百条平安里。 一说起平安里，眼前就会出现那种曲折深长、藏污纳垢的弄堂。 它们有时是可走穿，来到另一条马路上；还有时它们会和邻弄相通，连成一片。 真是有些像网的，外地人一旦走进这种弄堂，必定迷失方向，不知会把你带到哪里。	SHANGHAI MUST HAVE at least a hundred Peace Lanes, some occupying a large area connecting two major streets, others connected to other longtang, forming a vast network of twisted, dirty lanes where one can easily get lost.
韦小宝道：“我先用笔打个样子，然后用刀子来刻，就好像人家刻图章。	'I'm doing the pattern with the brush first,' he said. 'I'll be going over it with a knife afterwards. That's what they do when they make seals, isn't it?
奶奶就立住了。	She stopped.
高粱地里悠长的哭声里，夹杂着疙疙瘩瘩的字眼：	The disconsolate weeping in the sorghum field was dotted with words, like knots in a piece of wood:
现在大家都管她叫破鞋，弄得她魂不守舍，几乎连自己是谁都不知道了。	Now everyone called her damaged goods, which drove her to distraction and made her almost forget who she was.
韦小宝“啊”的一声叫了出来，只觉胸口一阵窒息，气也透不过来。	Trinket let out a gasp of pain. He had a choking sensation in his chest, and could hardly breathe.
程先生就说托她今后多多照顾王琦瑶，她那地方，他从此是不会再去了。	Mr. Cheng explained that he would never again visit Wang Qiyao. He wanted to ask Jiang Lili to look out for her.
一回头，只见左边立着一架大穿衣镜，从镜后转出两个一对儿十五六岁的丫头来，说：“请二爷里头屋里坐。”	To the left of him was a full-length mirror from behind which two girls now emerged, both about fifteen or sixteen years old and of much the same build and height. They addressed him by name and asked him to come inside.
